ID,Title,Slug,Tagline,Categories,Tags,Sorting,Publish
12,Objects Recognition,objects-recognition,Unlock experiences.,Discovery & Learning,IoT / NFC / RFID | Computer Vision | Real-Time | Phygital | Interactive | Storytelling | Gamified | Product Discovery | Educational | Exhibition Friendly | Retail | Brand Activation | Participation | Personalization | Immersive | Hardware Required | Digital-Physical,,TRUE
13,Touchscreen,touchscreen,Touch the story.,Discovery & Learning,Touchscreen | Interactive | Discovery | Educational | Large Format | Storytelling | Product Discovery | Exhibition Friendly | Low Barrier,14,FALSE
14,Touch & Objects Recognition,touch-objects-recognition,"Touch, place, discover.",Discovery & Learning,Touchscreen | Large Format | Digital-Physical | Data Collection | Computer Vision | Gamified | Educational | Discovery | Interactive | Hardware Required | Phygital,12,TRUE
15,Touch Projection,touch-projection,Enlightening stories.,Discovery & Learning,Projection | Touchscreen | Interactive | Discovery | Storytelling | Educational | Large Format | Hardware Required | Exhibition Friendly | Wow-Factor | Multi-Touchpoint,9,TRUE
16,Augmented Reality,augmented-reality,See deeper.,Discovery & Learning,AR / XR | Storytelling | Immersive | Educational | Gamified | Mobile-Friendly | Discovery | Interactive | Wow-Factor | Phygital,12,TRUE
17,Visitor Identifications,visitor-id,QR or NFC Objects. Every interaction.,Tools for Visitor & Partner | Guides & Narrative Systems,IoT / NFC / RFID | Token-Based | QR Code | Multi-Touchpoint | Personalization | Data Collection | Phygital | Event Ready | Multi-Language | Low Barrier | Journey,1,TRUE
18,Journey Manager,journey-manager,Orchestrate the experience.,Tools for Visitor & Partner | Guides & Narrative Systems,Journey | Reward | Personalization | Data Collection | Multi-Touchpoint | Modular | Token-Based,41,FALSE
19,Photo Printing,photo-printing,Scan. Print. Remember.,Tools for Visitor & Partner,Print Output | Kiosk / Station | QR Code | Shareable | Brand Activation | Memorable | Easy to Learn | Low Barrier | Instant Play | Content Creation,18,TRUE
20,Connected Photographer,connected-photographer,Captured and delivered instantly.,Tools for Visitor & Partner | Capture & Memory,Content Creation | Shareable | Mobile-Friendly | Personalization | Data Collection | AI-Powered | Post-Event | Memorable | QR Code | Token-Based | Journey,9,TRUE
21,Event Dashboard,event-dashboard,Gathered insights.,Tools for Visitor & Partner,Data Collection | Real-Time | Large Format | Live Event | Participation | Leaderboard | Video / Media | User-Generated Content | Content Creation | Memorable,16,TRUE
22,Shared Gallery,shared-gallery,Many perspective's story.,Capture & Memory,User-Generated Content | Collaborative | Content Creation | Shareable | Real-Time | Live Event | Journey | Participation | Mobile-Friendly | Memorable | Post-Event,35,TRUE
23,Mosaic Wall,mosaic-wall,One collective masterpiece.,Capture & Memory ,Generative | User-Generated Content | Collaborative | Content Creation | Shareable | Real-Time | Participation | Large Format | Brand Activation | Memorable | Wow-Factor,20,TRUE
24,Virtual Shootout,virtual-shootout,Aim. Shoot. React.,Gamification & Fun,Hardware Required | Computer Vision | Body Tracking | Competitive | Fast-Paced | Real-Time | Reflex-Based | Arcade-Style | High Energy | Spectator Friendly | Multiplayer,19,TRUE
25,Digital Grafitti,digital-grafitti,Living canvas.,Gamification & Fun | Light & Art Installations,Collaborative | Creative | Real-Time | Expressive | Participation | Generative | User-Generated Content | Interactive | Touchscreen | Projection | Low Barrier | Immersive | Large Format | Memorable,,TRUE
26,Remote Controllers,remote-controllers,Scan. Control. Experience.,Gamification & Fun | Light & Art Installations,Mobile-Friendly | IoT / NFC / RFID | QR Code | Real-Time | Creative | Interactive | Hardware Required | Digital-Physical | Low Barrier | Phygital,20,TRUE
27,Ball Wall Games,ball-wall-games,Active fun.,Gamification & Fun,Projection | Digital-Physical | Gamified | Real-Time | Competitive | High Energy | Participation | Spectator Friendly | Team Play | Multiplayer | Repeat Play,8,TRUE
28,Balance Games,balance-games,Play with focus.,Gamification & Fun,Digital-Physical | Gamified | Wellness | Hardware Required | Interactive | Competitive | Timed Challenge | Repeat Play | Single Player,14,TRUE
29,Stack Games,stack-games,Take it easy.,Gamification & Fun,Wellness | Reflex-Based | Creative | Discovery | Interactive | Touchscreen | Competitive | Single Player | Timed Challenge | Easy to Learn | Repeat Play,24,TRUE
30,Memory Games,memory-games,"Flip, match, celebrate.",Gamification & Fun,Cognitive Challenge | Touchscreen | Large Format | Single Player | Multiplayer | Competitive | Leaderboard | Repeat Play | Low Barrier | Family Friendly | Brand Activation | Product Discovery | Educational | Gamified | Timed Challenge | Data Collection | Dwell Time | Exhibition Friendly | Retail | Easy to Learn | Instant Play,51,TRUE
31,Rhythm Games,rhythm-games,Feel the beat.,Gamification & Fun,Audio-Driven | Timed Challenge | Team Play | Single Player | Versus | Competitive | Reflex-Based | Crowd Activation | Low Barrier | Instant Play | Digital-Physical | Hardware Required | High Energy | Live Event | Interactive | Participation,52,TRUE
32,Personality-Quiz,personality-quiz,Answer. Discover. Belong.,Gamification & Fun | Discovery & Learning,Quiz / Trivia | Discovery | Personalization | Shareable | Icebreaker | Interactive | Lead Generation | Data Collection | Brand Activation | Single Player | Mobile-Friendly | Easy to Learn | Gamified,,TRUE
33,Wheel of Luck,wheel-of-luck,Spinning fun.,Gamification & Fun,Chance-Based | Gamified | Reward | Brand Activation | Participation | Giveaway | Competitive | Interactive | High Energy | Repeat Play | Lead Generation | Viral Moment | Event Ready | Sponsor Activation | Live Event,23,TRUE
34,Slot Machine,slot-machine,Spin the moment.,Gamification & Fun,Chance-Based | Gamified | Reward | Interactive | Brand Activation | Giveaway | Participation | Instant Play | Easy to Learn | Memorable,23,TRUE
35,Laser Voting,laser-voting,Point. Vote. Decide.,Audience Activation,Voting | Real-Time | Participation | Crowd Activation | Hardware Required | Digital-Physical | Data Collection | Live Event | Gamified | Projection | Large Format | Low Barrier,,FALSE
36,Cloud Content Management,cloud-cms,Connected content.,Tools for Visitor & Partner,Multi-Language | Modular | Real-Time | Data Collection | Personalization | Multi-Touchpoint | Event Ready,38,TRUE
37,Moderated Activities,moderated-activities,Analogue challenges tracked.,Tools for Visitor & Partner | Gamification & Fun,Digital-Physical | Data Collection | Journey | Participation | Leaderboard | Token-Based | Modular | Hardware Required | Post-Event | Memorable,,TRUE
38,Planner,planner,Decide faster.,Tools for Visitor & Partner,Voting | Decision-Making | Collaborative | Mobile-Friendly | Real-Time | Data Collection | Participation | Team Play | Easy to Learn | Low Barrier,25,TRUE
39,Video Wrap,video-wrap,Instantly edited journey.,Tools for Visitor & Partner | Capture & Memory,Content Creation | Storytelling | Shareable | Personalization | Video / Media | Post-Event | Memorable | Brand Activation | Journey | AI-Powered,37,TRUE
40,Poster Wrap,poster-wrap,Moments framed.,Tools for Visitor & Partner | Capture & Memory,Print Output | Kiosk / Station | Data Collection | Personalization | Brand Activation | Memorable | Post-Event | Content Creation | Journey,38,FALSE
41,Personal Journey Recap,journey-recap,Unique experiences.,Tools for Visitor & Partner | Capture & Memory,Data Collection | Post-Event | Personalization | Journey | Shareable | Memorable | Storytelling | Token-Based | Multi-Touchpoint,48,TRUE
42,Photo Service API,photo-service-api,Externals fully connected.,Tools for Visitor & Partner,Content Creation | Print Output | Kiosk / Station | Shareable | Brand Activation | Personalization | Post-Event | Modular,30,FALSE
43,Storytelling Invite,storytelling-invite,Engaged from start.,Guides & Narrative Systems,Pre-Event | Storytelling | Personalization | Participation | Data Collection | Shareable | Mobile-Friendly | Journey | Icebreaker | Lead Generation,36,TRUE
44,Digital Signage,digital-signage,Content made simple.,Guides & Narrative Systems,Product Discovery | Multi-Language | Large Format | Video / Media | Modular | Real-Time | Interactive | Brand Activation | Event Ready,42,TRUE
45,Interactive Sand,interactive-sand,Shape to reveal.,Audience Activation | Discovery & Learning,Educational | Discovery | Digital-Physical | Real-Time | Wow-Factor | Projection | Interactive | Collaborative | Family Friendly | Hardware Required | Immersive,18,TRUE
46,Interactive Showroom,interactive-showroom,Explore shelves.,Discovery & Learning | Guides & Narrative Systems,Retail | Hardware Required | Gamified | Product Discovery | IoT / NFC / RFID | Interactive | Digital-Physical | Data Collection | Phygital | Computer Vision,18,FALSE
47,Carrera Race Game,carrera-race-game,Faster than the competition.,Gamification & Fun,Reflex-Based | Fast-Paced | Arcade-Style | Competitive | Versus | High Energy | Spectator Friendly | Hardware Required | Timed Challenge,44,FALSE
48,Role Play,role-play,Step into character.,Gamification & Fun | Guides & Narrative Systems,Storytelling | Discovery | Educational | Competitive | Chance-Based | Interactive | Gamified | Journey | Team Play | Immersive | Multi-Language,47,TRUE
49,Karaoke,karaoke,Sing it loud.,Gamification & Fun,Audio-Driven | Touchscreen | Interactive | Participation | Content Creation | Video / Media | Shareable | Kiosk / Station | Gamified | Memorable | Brand Activation | High Energy | Single Player | Viral Moment,,TRUE
50,Interactive Guided Theatre,interactive-guided-theatre,Live the story.,Guides & Narrative Systems,Participation | Storytelling | Immersive | Live Event | Real-Time | Interactive | Memorable | Crowd Activation | Decision-Making,45,FALSE
51,Virtual Reality Portals,virtual-reality-portals,Into another world.,Discovery & Learning,AR / XR | Immersive | Hardware Required | Storytelling | Discovery | Wow-Factor | Educational | Interactive | Memorable | Single Player | Dwell Time,31,TRUE
52,Body Tracker,body-tracker,Motion into wonder.,Light & Art Installations,Body Tracking | Hardware Required | Digital-Physical | Immersive | Interactive | Wow-Factor | Computer Vision | Real-Time,43,FALSE
